Week,Date,Matchup,Wind,Weather_Source,Spread_Mean,Spread_Median,Spread_Std,Spread_Variance,Spread_Variance_Label,Spread_25th,Spread_75th,Total_Mean,Total_Median,Total_Std,Total_10th_Floor,Total_90th_Ceiling,Home_Win_Pct,Away_Win_Pct,Prob_Land_3,Prob_Land_7
4,2025-09-28,LAC @ NYG,10,Historical Avg,4.44,6.0,13.14,172.56,Medium,-5.0,13.0,42.6,42.0,12.308976476616644,28.0,58.10000000000002,0.362,0.636,0.083,0.072
4,2025-09-28,PHI @ TB,8,Historical Avg,0.43,-1.0,12.74,162.2,Med-Low,-9.0,10.0,44.02,43.0,12.290232903603771,29.0,60.0,0.501,0.498,0.099,0.091
4,2025-09-28,IND @ LA,0,Dome,-4.49,-5.0,13.27,176.21,Medium,-13.0,4.0,53.94,53.0,13.108555764623128,36.0,71.0,0.649,0.351,0.096,0.101
4,2025-09-28,JAX @ SF,10,Historical Avg,-0.99,-3.0,13.53,183.13,Med-High,-10.0,8.25,47.91,47.0,12.775645467729492,33.0,64.0,0.545,0.455,0.09,0.094
4,2025-09-28,BAL @ KC,10,Historical Avg,4.53,6.0,12.66,160.25,Med-Low,-5.0,14.0,43.25,43.0,12.521832785031762,28.0,60.0,0.36,0.637,0.08,0.091
4,2025-09-28,CHI @ LV,0,Dome,5.5,7.0,13.17,173.42,Medium,-4.0,14.0,39.03,39.0,11.551916324609124,25.0,54.0,0.338,0.66,0.067,0.092
4,2025-09-28,GB @ DAL,0,Dome,5.89,7.0,12.79,163.7,Med-Low,-4.0,14.0,53.63,53.0,12.848867825781554,37.0,70.0,0.34,0.658,0.075,0.102
4,2025-09-29,NYJ @ MIA,8,Historical Avg,-7.01,-8.0,13.26,175.95,Medium,-17.0,3.0,39.81,39.0,11.483369181898132,25.0,54.10000000000002,0.693,0.307,0.085,0.066
4,2025-09-29,CIN @ DEN,8,Historical Avg,-3.49,-4.0,13.49,181.93,Med-High,-13.0,7.0,46.4,47.0,12.973422859858562,30.0,63.0,0.599,0.4,0.085,0.089
5,2025-10-02,SF @ LA,0,Dome,-1.6,-3.0,13.25,175.66,Medium,-11.0,7.0,52.82,53.0,12.63825131877019,37.0,69.0,0.537,0.462,0.103,0.089
5,2025-10-05,MIN @ CLE,10,Historical Avg,6.95,7.0,13.93,193.96,Med-High,-3.0,17.0,36.95,36.0,11.408770487832772,23.0,52.0,0.304,0.695,0.083,0.061
5,2025-10-05,HOU @ BAL,10,Historical Avg,-5.4,-7.0,13.25,175.45,Medium,-15.0,5.0,46.31,46.0,12.410718187354265,29.0,63.0,0.639,0.361,0.091,0.081
5,2025-10-05,MIA @ CAR,6,Historical Avg,3.03,3.0,13.43,180.41,Med-High,-7.0,13.0,40.32,40.0,12.08703488918653,25.0,57.0,0.412,0.587,0.102,0.097
5,2025-10-05,LV @ IND,0,Dome,-9.31,-10.0,13.22,174.75,Medium,-19.0,-1.0,43.6,43.0,11.856988832928206,29.0,58.0,0.755,0.244,0.068,0.067
5,2025-10-05,NYG @ NO,10,Historical Avg,-2.48,-3.0,13.71,187.91,Med-High,-12.0,7.0,40.11,39.0,11.883242084651918,26.0,56.0,0.565,0.433,0.083,0.089
5,2025-10-05,DAL @ NYJ,12,Historical Avg,9.29,10.0,12.81,163.99,Med-Low,2.0,18.0,45.36,45.0,11.849180650242534,30.0,61.0,0.229,0.771,0.071,0.084
5,2025-10-05,DEN @ PHI,12,Historical Avg,0.53,1.0,13.19,174.05,Medium,-9.0,10.0,41.47,41.0,12.380328894804999,26.0,58.0,0.487,0.512,0.096,0.103
5,2025-10-05,TEN @ ARI,0,Dome,-6.33,-7.0,12.51,156.5,Low,-15.0,3.0,41.84,41.0,12.223574222246404,26.0,58.0,0.693,0.304,0.092,0.092
5,2025-10-05,TB @ SEA,10,Historical Avg,-8.67,-9.0,13.19,173.89,Medium,-17.0,-1.0,47.19,47.0,12.96678609145464,30.0,64.0,0.759,0.241,0.069,0.077
5,2025-10-05,DET @ CIN,10,Historical Avg,5.1,7.0,14.04,197.22,High,-6.0,15.0,54.55,54.0,13.71574356794489,37.0,73.0,0.356,0.643,0.072,0.094
5,2025-10-05,WAS @ LAC,0,Dome,-1.37,-2.0,12.96,168.06,Med-Low,-11.0,8.0,45.14,45.0,12.124241346501984,30.0,61.0,0.53,0.469,0.099,0.085
5,2025-10-05,NE @ BUF,10,Historical Avg,0.18,1.0,14.03,196.78,High,-10.0,10.0,47.61,47.0,12.818432517753964,31.0,64.0,0.494,0.506,0.09,0.103
5,2025-10-06,KC @ JAX,10,Historical Avg,-5.37,-7.0,13.09,171.35,Medium,-14.25,4.0,41.23,40.0,11.239167134529048,28.0,56.0,0.665,0.332,0.085,0.077
6,2025-10-09,PHI @ NYG,12,Historical Avg,6.78,7.0,13.17,173.51,Medium,-3.0,17.0,41.96,42.0,11.943693013586829,27.0,57.0,0.307,0.692,0.072,0.072
6,2025-10-12,DEN @ NYJ,12,Historical Avg,8.72,9.0,12.96,168.01,Med-Low,-2.0,18.0,38.94,39.0,11.441626406014786,23.900000000000006,54.0,0.264,0.734,0.075,0.076
6,2025-10-12,LA @ BAL,10,Historical Avg,3.35,4.0,13.79,190.07,Med-High,-7.0,13.0,52.74,52.0,13.436737025851995,36.0,71.0,0.401,0.597,0.076,0.08
