"EntryName","Week_1","Week_2","Week_3","Week_4","Week_5","Week_6","Week_7","Week_8","Week_9"
"CODYP1977-1","STEELERS PK","CARDINALS PK","SEAHAWKS PK","TEXANS PK","COLTS PK","PACKERS PK","BRONCOS PK","FALCONS PK","ELIMINATED"
"CODYP1977-2","BRONCOS PK","COWBOYS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLD BEAR-1","COMMANDERS PK","RAVENS PK","BILLS PK","RAMS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLDPLAY SUCKS-1","JAGUARS PK","CARDINALS PK","BILLS PK","BRONCOS PK","COLTS PK","STEELERS PK","PACKERS PK","PATRIOTS PK","ALIVE"
"COLDPLAY SUCKS-2","CARDINALS PK","RAVENS PK","BUCS PK","BILLS PK","LIONS PK","COLTS PK","BEARS PK","FALCONS PK","ELIMINATED"
"COLDPLAY SUCKS-3","TEXANS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLDPLAY SUCKS-4","VIKINGS PK","COWBOYS PK","SEAHAWKS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLDPLAY SUCKS-5","JAGUARS PK","STEELERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLDPLAY SUCKS-6","BENGALS PK","CARDINALS PK","COLTS PK","LIONS PK","BILLS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLDPLAY SUCKS-7","PATRIOTS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLDPLAY SUCKS-8","CARDINALS PK","RAMS PK","BUCS PK","LIONS PK","VIKINGS PK","PACKERS PK","BRONCOS PK","BENGALS PK","ELIMINATED"
"COLDPLAY SUCKS-9","CARDINALS PK","RAMS PK","BUCS PK","LIONS PK","BILLS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLINOC14-1","BRONCOS PK","RAVENS PK","BILLS PK","TEXANS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLINOC14-2","BRONCOS PK","RAVENS PK","BILLS PK","TEXANS PK","VIKINGS PK","PACKERS PK","CHIEFS PK","COLTS PK","ALIVE"
"COLINOC14-3","BRONCOS PK","RAVENS PK","BILLS PK","TEXANS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
