EntryName,Total_Wins,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16,Week_17,Week_18
GAMBLEONGOLD-4,11,NE,CLE,IND,TB,HOU,MIA,LAR,KC,TEN,NO,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
GAVIN45-2,11,PIT,SF,IND,LAR,SEA,MIA,BUF,TB,KC,GB,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
Grinder-1,11,BUF,ARI,NE,LAR,BAL,IND,LAC,PHI,KC,TB,PIT,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
H-TOWN-1,11,BUF,CHI,IND,LAR,ARI,MIA,LAC,PHI,GB,NO,KC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
HARDEN DINING HALL-1,11,BUF,TB,IND,LAR,ARI,MIA,LAC,PHI,HOU,NO,KC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
HARTMANN-1,11,BUF,TEN,IND,LAR,NO,MIA,LAC,PHI,KC,GB,PIT,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
He Is The One-3,11,PIT,BUF,IND,LAR,SEA,BAL,GB,KC,NE,MIA,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
Heater City-1,11,BUF,TB,IND,LAR,ARI,MIA,LAC,PHI,KC,GB,PIT,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
HeatStroke-3,11,NE,ARI,CLE,LAR,HOU,MIA,BUF,TB,KC,GB,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
HORNET.-1,11,KC,TB,CLE,LAR,BAL,IND,BUF,PHI,HOU,GB,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
Iron Mountain-4,11,BUF,TEN,CLE,BAL,LAR,MIA,LAC,TB,NE,NO,KC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
JFK JR-1,11,KC,GB,IND,LAR,BAL,MIA,BUF,TB,PIT,NO,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
Jokey-1,11,NE,TB,IND,LAR,PIT,MIA,BUF,KC,HOU,GB,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
